person_id,zone_id,entry_time,exit_time,dwell_s,gender,age_range,visit_date,hour_of_day
P_00001,Z_E2,2025-03-10 09:00:32,2025-03-10 09:00:42,0,M,adult,2025-03-10,9
P_00001,Z_C1,2025-03-10 09:01:00,2025-03-10 09:01:23,23,M,adult,2025-03-10,9
P_00001,Z_C2,2025-03-10 09:01:38,2025-03-10 09:02:10,32,M,adult,2025-03-10,9
P_00002,Z_E2,2025-03-10 09:02:58,2025-03-10 09:03:13,15,F,middle_aged,2025-03-10,9
P_00001,Z_C3,2025-03-10 09:02:44,2025-03-10 09:03:17,33,M,adult,2025-03-10,9
P_00003,Z_E1,2025-03-10 09:03:03,2025-03-10 09:03:20,17,F,teenager,2025-03-10,9
P_00003,Z_C1,2025-03-10 09:03:46,2025-03-10 09:03:56,0,F,teenager,2025-03-10,9
P_00002,Z_C1,2025-03-10 09:03:37,2025-03-10 09:04:01,24,F,middle_aged,2025-03-10,9
P_00002,Z_C2,2025-03-10 09:04:23,2025-03-10 09:04:49,26,F,middle_aged,2025-03-10,9
P_00003,Z_C2,2025-03-10 09:04:16,2025-03-10 09:04:51,35,F,teenager,2025-03-10,9
P_00004,Z_E2,2025-03-10 09:04:52,2025-03-10 09:04:59,0,M,adult,2025-03-10,9
P_00002,Z_C3,2025-03-10 09:05:04,2025-03-10 09:05:18,14,F,middle_aged,2025-03-10,9
P_00003,Z_C3,2025-03-10 09:05:11,2025-03-10 09:05:39,28,F,teenager,2025-03-10,9
P_00004,Z_C1,2025-03-10 09:05:16,2025-03-10 09:05:46,30,M,adult,2025-03-10,9
P_00005,Z_E2,2025-03-10 09:06:26,2025-03-10 09:06:42,16,F,senior,2025-03-10,9
P_00003,Z_N4,2025-03-10 09:06:07,2025-03-10 09:07:07,60,F,teenager,2025-03-10,9
P_00005,Z_C1,2025-03-10 09:06:57,2025-03-10 09:07:12,15,F,senior,2025-03-10,9
P_00005,Z_C2,2025-03-10 09:07:24,2025-03-10 09:07:35,11,F,senior,2025-03-10,9
P_00004,Z_S4,2025-03-10 09:05:58,2025-03-10 09:07:40,102,M,adult,2025-03-10,9
P_00001,Z_N9,2025-03-10 09:03:31,2025-03-10 09:07:48,257,M,adult,2025-03-10,9
P_00003,Z_C2,2025-03-10 09:07:31,2025-03-10 09:07:58,27,F,teenager,2025-03-10,9
P_00005,Z_C1,2025-03-10 09:08:04,2025-03-10 09:08:38,34,F,senior,2025-03-10,9
P_00006,Z_E2,2025-03-10 09:08:42,2025-03-10 09:08:51,0,M,young_adult,2025-03-10,9
P_00007,Z_E1,2025-03-10 09:08:46,2025-03-10 09:09:02,16,F,adult,2025-03-10,9
P_00003,Z_C3,2025-03-10 09:08:32,2025-03-10 09:09:06,34,F,teenager,2025-03-10,9
P_00006,Z_C1,2025-03-10 09:09:04,2025-03-10 09:09:37,33,M,young_adult,2025-03-10,9
P_00002,Z_N6,2025-03-10 09:05:39,2025-03-10 09:09:46,247,F,middle_aged,2025-03-10,9
P_00007,Z_C1,2025-03-10 09:09:35,2025-03-10 09:10:01,26,F,adult,2025-03-10,9
P_00005,Z_S1,2025-03-10 09:08:58,2025-03-10 09:10:34,96,F,senior,2025-03-10,9
P_00007,Z_C2,2025-03-10 09:10:26,2025-03-10 09:10:35,0,F,adult,2025-03-10,9
P_00008,Z_E2,2025-03-10 09:10:32,2025-03-10 09:10:43,11,M,young_adult,2025-03-10,9
P_00008,Z_C1,2025-03-10 09:10:51,2025-03-10 09:11:03,12,M,young_adult,2025-03-10,9
P_00007,Z_C3,2025-03-10 09:10:59,2025-03-10 09:11:12,13,F,adult,2025-03-10,9
P_00008,Z_C2,2025-03-10 09:11:12,2025-03-10 09:11:22,0,M,young_adult,2025-03-10,9
P_00005,Z_C2,2025-03-10 09:10:53,2025-03-10 09:11:23,30,F,senior,2025-03-10,9
P_00004,Z_S4,2025-03-10 09:08:08,2025-03-10 09:11:31,203,M,adult,2025-03-10,9
P_00001,Z_N5,2025-03-10 09:08:01,2025-03-10 09:11:32,211,M,adult,2025-03-10,9
P_00003,Z_N5,2025-03-10 09:09:33,2025-03-10 09:11:53,140,F,teenager,2025-03-10,9
P_00005,Z_C3,2025-03-10 09:11:46,2025-03-10 09:12:09,23,F,senior,2025-03-10,9
P_00008,Z_C3,2025-03-10 09:11:52,2025-03-10 09:12:11,19,M,young_adult,2025-03-10,9
P_00003,Z_C2,2025-03-10 09:12:04,2025-03-10 09:12:13,0,F,teenager,2025-03-10,9
P_00004,Z_C2,2025-03-10 09:12:05,2025-03-10 09:12:18,13,M,adult,2025-03-10,9
P_00006,Z_S5,2025-03-10 09:09:56,2025-03-10 09:12:28,152,M,young_adult,2025-03-10,9
P_00004,Z_C3,2025-03-10 09:12:28,2025-03-10 09:13:02,34,M,adult,2025-03-10,9
P_00003,Z_C1,2025-03-10 09:12:47,2025-03-10 09:13:12,25,F,teenager,2025-03-10,9
P_00008,Z_C2,2025-03-10 09:12:58,2025-03-10 09:13:21,23,M,young_adult,2025-03-10,9
P_00005,Z_N10,2025-03-10 09:12:37,2025-03-10 09:13:27,50,F,senior,2025-03-10,9
P_00008,Z_C3,2025-03-10 09:13:40,2025-03-10 09:14:01,21,M,young_adult,2025-03-10,9
P_00005,Z_C1,2025-03-10 09:13:51,2025-03-10 09:14:08,17,F,senior,2025-03-10,9
P_00001,Z_N3,2025-03-10 09:11:57,2025-03-10 09:14:30,153,M,adult,2025-03-10,9
P_00002,Z_N1,2025-03-10 09:10:06,2025-03-10 09:14:43,277,F,middle_aged,2025-03-10,9
P_00005,Z_C2,2025-03-10 09:14:20,2025-03-10 09:14:52,32,F,senior,2025-03-10,9
P_00007,Z_N8,2025-03-10 09:11:26,2025-03-10 09:15:21,235,F,adult,2025-03-10,9
P_00005,Z_C3,2025-03-10 09:15:15,2025-03-10 09:15:37,22,F,senior,2025-03-10,9
P_00001,Z_N2,2025-03-10 09:15:00,2025-03-10 09:15:37,169,M,adult,2025-03-10,9
P_00003,Z_S3,2025-03-10 09:13:27,2025-03-10 09:16:35,188,F,teenager,2025-03-10,9
P_00007,Z_N7,2025-03-10 09:15:44,2025-03-10 09:16:56,72,F,adult,2025-03-10,9
P_00003,Z_C2,2025-03-10 09:16:58,2025-03-10 09:17:07,0,F,teenager,2025-03-10,9
P_00006,Z_N6,2025-03-10 09:12:36,2025-03-10 09:17:12,276,M,young_adult,2025-03-10,9
P_00005,Z_N9,2025-03-10 09:16:09,2025-03-10 09:17:23,74,F,senior,2025-03-10,9
